layer,symbol,path,current_state,target_owner,migration_task,deletion_condition,validation
baseline,direct_kernel_run_contract,packages/suspension_multibody/scripts/case_parity_check.py,baseline_bypass,simulation.run_request,06,lines 393/424/462/517/570/618 removed after script cutover,parity regression
baseline,direct_case_contract_import,packages/suspension_multibody/src/suspension_multibody/adams,baseline_bypass,simulation.run_request,06,reference/strict_k/strict_c imports removed,Adams regression
baseline,direct_case_contract_call,packages/suspension_multibody/src/suspension_multibody/adams,baseline_bypass,simulation.run_request,06,reference/strict_k/strict_c calls removed,Adams regression
baseline,direct_case_contract_import,packages/suspension_multibody/scripts,baseline_bypass,simulation.run_request,02;06,probe/performance/parity imports removed,script regression
baseline,direct_case_contract_call,packages/suspension_multibody/scripts,baseline_bypass,simulation.run_request,02;06,probe/performance/parity calls removed,script regression
baseline,direct_raw_decoder,packages/suspension_multibody/src/suspension_multibody/cases/kc_quasi_static/workflow.py,baseline_bypass,results.decoder,02;03,workflow decodes only through results layer,KC regression
baseline,direct_raw_decoder,packages/suspension_multibody/src/suspension_multibody/axle_dynamics/contract_run.py,baseline_bypass,results.decoder,04,service no longer decodes raw contract directly,axle regression
baseline,direct_raw_decoder,packages/suspension_multibody/src/suspension_multibody/vehicle_dynamics.py,baseline_bypass,results.decoder,05,service no longer decodes raw contract directly,vehicle regression
baseline,direct_raw_decoder,packages/suspension_multibody/src/suspension_multibody/results/vehicle.py,baseline_bypass,results.decoder,03,decoder ownership consolidated,results regression
baseline,dynamic_bundle_reference,packages/suspension_multibody/src/suspension_multibody/api.py,baseline_bypass,results.timeseries.TimeSeriesResult,03;06,new dynamic output no bundle reference,API regression
baseline,dynamic_bundle_creation,packages/suspension_multibody/src/suspension_multibody/api.py,baseline_bypass,results.timeseries.TimeSeriesResult,03;06,new dynamic output no bundle creation,results regression
baseline,dynamic_bundle_creation,packages/suspension_multibody/src/suspension_multibody/analysis/vehicle_kc_time_domain.py,baseline_bypass,results.timeseries.TimeSeriesResult,03,history aggregation migrated,vehicle K&C regression
baseline,legacy_artifact_writer,packages/suspension_multibody/src/suspension_multibody/cli.py,baseline_bypass,io.artifacts,06,CLI no domain-specific writer imports/calls,CLI regression
baseline,legacy_artifact_writer,packages/suspension_multibody/src/suspension_multibody/adams/axle_equivalence.py,baseline_bypass,io.artifacts,06;07,Adams equivalence no legacy axle writer,Adams artifact regression
baseline,legacy_artifact_writer,packages/suspension_multibody/scripts/run_full_native_three_model_comparison.py,baseline_bypass,io.artifacts,06,comparison script uses unified writer,script regression
baseline,axle_native_facade_import,packages/suspension_multibody/tests,compatibility_reference,suspension_multibody.kernel.native,08,test facade references removed before deletion,strict architecture gate
