id,scope,subject,old_owner,new_owner,callers,disposition,evidence
C0011,cpp-module,mb_output,mb_output,mb_output,cpp/src/output/kernel_output.cpp; cpp/include/mb_output/functions.hpp,rename/absorb after dependency + ABI gates,layering_baseline.json; CMakeLists.txt; MODULES.md
C0012,cpp-module,mb_static,mb_static,mb_solve_static,cpp/src/static/kernel_static_contact.cpp; cpp/src/static/kernel_static_projection.cpp,rename/absorb after dependency + ABI gates,layering_baseline.json; CMakeLists.txt; MODULES.md
C0013,cpp-module,mb_suspension,mb_suspension,mb_element,cpp/src/suspension/anti_roll.cpp; cpp/src/suspension/bushing.cpp,rename/absorb after dependency + ABI gates,layering_baseline.json; CMakeLists.txt; MODULES.md
C0014,cpp-module,mb_tire,mb_tire,mb_tire,cpp/src/tire/assemble.cpp; cpp/src/tire/kernel_tire_assembly.cpp,rename/absorb after dependency + ABI gates,layering_baseline.json; CMakeLists.txt; MODULES.md
C0015,cpp-module,mb_tire_brush,mb_tire_brush,mb_tire (internal brush target retained),cpp/src/tire/brush/model.cpp; cpp/include/mb_tire/brush/functions.hpp,rename/absorb after dependency + ABI gates,layering_baseline.json; CMakeLists.txt; MODULES.md
C0016,cpp-module,mb_tire_common,mb_tire_common,mb_tire (internal common target retained),cpp/src/tire/common/kinematics.cpp; cpp/include/mb_tire/common/functions.hpp,rename/absorb after dependency + ABI gates,layering_baseline.json; CMakeLists.txt; MODULES.md
C0017,cpp-module,mb_tire_fiala,mb_tire_fiala,mb_tire (internal fiala target retained),cpp/src/tire/fiala/directional.cpp; cpp/src/tire/fiala/forces.cpp,rename/absorb after dependency + ABI gates,layering_baseline.json; CMakeLists.txt; MODULES.md
C0018,cpp-module,mb_tire_pac2002,mb_tire_pac2002,mb_tire (internal pac2002 target retained),cpp/src/tire/pac2002/contact_mass.cpp; cpp/src/tire/pac2002/directional.cpp,rename/absorb after dependency + ABI gates,layering_baseline.json; CMakeLists.txt; MODULES.md
C0019,cpp-module,mb_tire_state,mb_tire_state,mb_tire,cpp/src/tire_state/kernel_tire_state.cpp; cpp/include/mb_tire_state/functions.hpp,rename/absorb after dependency + ABI gates,layering_baseline.json; CMakeLists.txt; MODULES.md
C0020,cpp-module,mb_vehicle,mb_vehicle,mb_assembly|mb_force|mb_element|mb_tire,cpp/src/vehicle/drive_brake.cpp; cpp/src/vehicle/force_assembly.cpp,split by function: assembly/force/element/tire,layering_baseline.json; CMakeLists.txt; MODULES.md
C0021,cpp-header-edge,abi->mb_base,abi,abi -> mb_numeric|mb_dual|mb_config,cpp/include/abi/functions.hpp; cpp/include/abi/version.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0022,cpp-header-edge,abi->mb_constraint,abi,abi -> mb_joint,cpp/include/abi/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0023,cpp-header-edge,abi->mb_energy,abi,abi -> mb_model|mb_input (neutral data; exact landing unresolved),cpp/include/abi/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0024,cpp-header-edge,abi->mb_input,abi,abi -> mb_input,cpp/include/abi/functions.hpp; cpp/axle_dynamics/axle_kernel.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0025,cpp-header-edge,abi->mb_integrator,abi,abi -> mb_solve_dynamic,cpp/include/abi/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0026,cpp-header-edge,abi->mb_linalg,abi,abi -> mb_linear,cpp/include/abi/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0027,cpp-header-edge,abi->mb_model,abi,abi -> mb_model,cpp/include/abi/functions.hpp; cpp/axle_dynamics/axle_kernel.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0028,cpp-header-edge,abi->mb_output,abi,abi -> mb_output,cpp/include/abi/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0029,cpp-header-edge,abi->mb_tire,abi,abi -> mb_tire,cpp/include/abi/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0030,cpp-header-edge,abi->mb_tire_common,abi,abi -> mb_tire (internal common target retained),cpp/include/abi/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0031,cpp-header-edge,abi->mb_tire_fiala,abi,abi -> mb_tire (internal fiala target retained),cpp/include/abi/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0032,cpp-header-edge,abi->mb_tire_pac2002,abi,abi -> mb_tire (internal pac2002 target retained),cpp/include/abi/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0033,cpp-header-edge,abi->mb_tire_state,abi,abi -> mb_tire,cpp/include/abi/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0034,cpp-header-edge,mb_cases->mb_base,mb_cases,mb_cases -> mb_numeric|mb_dual|mb_config,cpp/include/mb_cases/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0035,cpp-header-edge,mb_cases->mb_contract,mb_cases,mb_cases -> mb_contract,cpp/include/mb_cases/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0036,cpp-header-edge,mb_cases->mb_input,mb_cases,mb_cases -> mb_input,cpp/include/mb_cases/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0037,cpp-header-edge,mb_constraint->mb_base,mb_constraint,mb_joint -> mb_numeric|mb_dual|mb_config,cpp/include/mb_constraint/functions.hpp; cpp/include/mb_constraint/registry.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0038,cpp-header-edge,mb_constraint->mb_linalg,mb_constraint,mb_joint -> mb_linear,cpp/include/mb_constraint/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0039,cpp-header-edge,mb_constraint->mb_model,mb_constraint,mb_joint -> mb_model,cpp/include/mb_constraint/functions.hpp; cpp/include/mb_constraint/registry.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0040,cpp-header-edge,mb_contract->mb_base,mb_contract,mb_contract -> mb_numeric|mb_dual|mb_config,cpp/include/mb_contract/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0041,cpp-header-edge,mb_input->mb_model,mb_input,mb_input -> mb_model,cpp/include/mb_input/types.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0042,cpp-header-edge,mb_integrator->mb_base,mb_integrator,mb_solve_dynamic -> mb_numeric|mb_dual|mb_config,cpp/include/mb_integrator/context.hpp; cpp/include/mb_integrator/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0043,cpp-header-edge,mb_integrator->mb_constraint,mb_integrator,mb_solve_dynamic -> mb_joint,cpp/include/mb_integrator/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0044,cpp-header-edge,mb_integrator->mb_energy,mb_integrator,mb_solve_dynamic -> mb_model|mb_input (neutral data; exact landing unresolved),cpp/include/mb_integrator/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0045,cpp-header-edge,mb_integrator->mb_input,mb_integrator,mb_solve_dynamic -> mb_input,cpp/include/mb_integrator/context.hpp; cpp/include/mb_integrator/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0046,cpp-header-edge,mb_integrator->mb_linalg,mb_integrator,mb_solve_dynamic -> mb_linear,cpp/include/mb_integrator/context.hpp; cpp/include/mb_integrator/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0047,cpp-header-edge,mb_integrator->mb_model,mb_integrator,mb_solve_dynamic -> mb_model,cpp/include/mb_integrator/context.hpp; cpp/include/mb_integrator/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0048,cpp-header-edge,mb_integrator->mb_tire,mb_integrator,mb_solve_dynamic -> mb_tire,cpp/include/mb_integrator/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0049,cpp-header-edge,mb_integrator->mb_tire_common,mb_integrator,mb_solve_dynamic -> mb_tire (internal common target retained),cpp/include/mb_integrator/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0050,cpp-header-edge,mb_integrator->mb_tire_fiala,mb_integrator,mb_solve_dynamic -> mb_tire (internal fiala target retained),cpp/include/mb_integrator/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0051,cpp-header-edge,mb_integrator->mb_tire_pac2002,mb_integrator,mb_solve_dynamic -> mb_tire (internal pac2002 target retained),cpp/include/mb_integrator/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0052,cpp-header-edge,mb_integrator->mb_tire_state,mb_integrator,mb_solve_dynamic -> mb_tire,cpp/include/mb_integrator/context.hpp; cpp/include/mb_integrator/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0053,cpp-header-edge,mb_linalg->mb_base,mb_linalg,mb_linear -> mb_numeric|mb_dual|mb_config,cpp/include/mb_linalg/factorization_types.hpp; cpp/include/mb_linalg/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0054,cpp-header-edge,mb_model->mb_base,mb_model,mb_model -> mb_numeric|mb_dual|mb_config,cpp/include/mb_model/enums.hpp; cpp/include/mb_model/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0055,cpp-header-edge,mb_output->mb_base,mb_output,mb_output -> mb_numeric|mb_dual|mb_config,cpp/include/mb_output/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0056,cpp-header-edge,mb_output->mb_constraint,mb_output,mb_output -> mb_joint,cpp/include/mb_output/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0057,cpp-header-edge,mb_output->mb_energy,mb_output,mb_output -> mb_model|mb_input (neutral data; exact landing unresolved),cpp/include/mb_output/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0058,cpp-header-edge,mb_output->mb_input,mb_output,mb_output -> mb_input,cpp/include/mb_output/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0059,cpp-header-edge,mb_output->mb_integrator,mb_output,mb_output -> mb_solve_dynamic,cpp/include/mb_output/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0060,cpp-header-edge,mb_output->mb_model,mb_output,mb_output -> mb_model,cpp/include/mb_output/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0061,cpp-header-edge,mb_output->mb_tire_state,mb_output,mb_output -> mb_tire,cpp/include/mb_output/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0062,cpp-header-edge,mb_static->mb_base,mb_static,mb_solve_static -> mb_numeric|mb_dual|mb_config,cpp/include/mb_static/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0063,cpp-header-edge,mb_static->mb_constraint,mb_static,mb_solve_static -> mb_joint,cpp/include/mb_static/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0064,cpp-header-edge,mb_static->mb_energy,mb_static,mb_solve_static -> mb_model|mb_input (neutral data; exact landing unresolved),cpp/include/mb_static/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0065,cpp-header-edge,mb_static->mb_input,mb_static,mb_solve_static -> mb_input,cpp/include/mb_static/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0066,cpp-header-edge,mb_static->mb_integrator,mb_static,mb_solve_static -> mb_solve_dynamic,cpp/include/mb_static/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0067,cpp-header-edge,mb_static->mb_linalg,mb_static,mb_solve_static -> mb_linear,cpp/include/mb_static/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0068,cpp-header-edge,mb_static->mb_model,mb_static,mb_solve_static -> mb_model,cpp/include/mb_static/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0069,cpp-header-edge,mb_static->mb_tire_common,mb_static,mb_solve_static -> mb_tire (internal common target retained),cpp/include/mb_static/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0070,cpp-header-edge,mb_static->mb_tire_state,mb_static,mb_solve_static -> mb_tire,cpp/include/mb_static/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0071,cpp-header-edge,mb_suspension->mb_base,mb_suspension,mb_element -> mb_numeric|mb_dual|mb_config,cpp/include/mb_suspension/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0072,cpp-header-edge,mb_suspension->mb_energy,mb_suspension,mb_element -> mb_model|mb_input (neutral data; exact landing unresolved),cpp/include/mb_suspension/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0073,cpp-header-edge,mb_suspension->mb_model,mb_suspension,mb_element -> mb_model,cpp/include/mb_suspension/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0074,cpp-header-edge,mb_tire->mb_base,mb_tire,mb_tire -> mb_numeric|mb_dual|mb_config,cpp/include/mb_tire/force_context.hpp; cpp/include/mb_tire/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0075,cpp-header-edge,mb_tire->mb_energy,mb_tire,mb_tire -> mb_model|mb_input (neutral data; exact landing unresolved),cpp/include/mb_tire/force_context.hpp; cpp/include/mb_tire/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0076,cpp-header-edge,mb_tire->mb_model,mb_tire,mb_tire -> mb_model,cpp/include/mb_tire/force_context.hpp; cpp/include/mb_tire/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0077,cpp-header-edge,mb_tire->mb_tire_common,mb_tire,mb_tire -> mb_tire (internal common target retained),cpp/include/mb_tire/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0078,cpp-header-edge,mb_tire->mb_tire_fiala,mb_tire,mb_tire -> mb_tire (internal fiala target retained),cpp/include/mb_tire/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0079,cpp-header-edge,mb_tire->mb_tire_pac2002,mb_tire,mb_tire -> mb_tire (internal pac2002 target retained),cpp/include/mb_tire/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0080,cpp-header-edge,mb_tire->mb_tire_state,mb_tire,mb_tire -> mb_tire,cpp/include/mb_tire/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0081,cpp-header-edge,mb_tire_brush->mb_base,mb_tire_brush,mb_tire (internal brush target retained) -> mb_numeric|mb_dual|mb_config,cpp/include/mb_tire/brush/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0082,cpp-header-edge,mb_tire_brush->mb_model,mb_tire_brush,mb_tire (internal brush target retained) -> mb_model,cpp/include/mb_tire/brush/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0083,cpp-header-edge,mb_tire_brush->mb_tire_common,mb_tire_brush,mb_tire (internal brush target retained) -> mb_tire (internal common target retained),cpp/include/mb_tire/brush/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0084,cpp-header-edge,mb_tire_brush->mb_tire_state,mb_tire_brush,mb_tire (internal brush target retained) -> mb_tire,cpp/include/mb_tire/brush/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0085,cpp-header-edge,mb_tire_common->mb_base,mb_tire_common,mb_tire (internal common target retained) -> mb_numeric|mb_dual|mb_config,cpp/include/mb_tire/common/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0086,cpp-header-edge,mb_tire_common->mb_model,mb_tire_common,mb_tire (internal common target retained) -> mb_model,cpp/include/mb_tire/common/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0087,cpp-header-edge,mb_tire_fiala->mb_base,mb_tire_fiala,mb_tire (internal fiala target retained) -> mb_numeric|mb_dual|mb_config,cpp/include/mb_tire/fiala/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0088,cpp-header-edge,mb_tire_fiala->mb_model,mb_tire_fiala,mb_tire (internal fiala target retained) -> mb_model,cpp/include/mb_tire/fiala/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0089,cpp-header-edge,mb_tire_fiala->mb_tire_common,mb_tire_fiala,mb_tire (internal fiala target retained) -> mb_tire (internal common target retained),cpp/include/mb_tire/fiala/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0090,cpp-header-edge,mb_tire_fiala->mb_tire_state,mb_tire_fiala,mb_tire (internal fiala target retained) -> mb_tire,cpp/include/mb_tire/fiala/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0091,cpp-header-edge,mb_tire_pac2002->mb_base,mb_tire_pac2002,mb_tire (internal pac2002 target retained) -> mb_numeric|mb_dual|mb_config,cpp/include/mb_tire/pac2002/functions.hpp; cpp/include/mb_tire/pac2002/spin.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0092,cpp-header-edge,mb_tire_pac2002->mb_model,mb_tire_pac2002,mb_tire (internal pac2002 target retained) -> mb_model,cpp/include/mb_tire/pac2002/functions.hpp; cpp/include/mb_tire/pac2002/parameters.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0093,cpp-header-edge,mb_tire_pac2002->mb_tire_common,mb_tire_pac2002,mb_tire (internal pac2002 target retained) -> mb_tire (internal common target retained),cpp/include/mb_tire/pac2002/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0094,cpp-header-edge,mb_tire_pac2002->mb_tire_state,mb_tire_pac2002,mb_tire (internal pac2002 target retained) -> mb_tire,cpp/include/mb_tire/pac2002/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0095,cpp-header-edge,mb_tire_state->mb_base,mb_tire_state,mb_tire -> mb_numeric|mb_dual|mb_config,cpp/include/mb_tire_state/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0096,cpp-header-edge,mb_tire_state->mb_model,mb_tire_state,mb_tire -> mb_model,cpp/include/mb_tire_state/functions.hpp; cpp/include/mb_tire_state/tire_state.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0097,cpp-header-edge,mb_vehicle->mb_base,mb_vehicle,mb_assembly|mb_force|mb_element|mb_tire -> mb_numeric|mb_dual|mb_config,cpp/include/mb_vehicle/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0098,cpp-header-edge,mb_vehicle->mb_constraint,mb_vehicle,mb_assembly|mb_force|mb_element|mb_tire -> mb_joint,cpp/include/mb_vehicle/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0099,cpp-header-edge,mb_vehicle->mb_energy,mb_vehicle,mb_assembly|mb_force|mb_element|mb_tire -> mb_model|mb_input (neutral data; exact landing unresolved),cpp/include/mb_vehicle/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0100,cpp-header-edge,mb_vehicle->mb_input,mb_vehicle,mb_assembly|mb_force|mb_element|mb_tire -> mb_input,cpp/include/mb_vehicle/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0101,cpp-header-edge,mb_vehicle->mb_model,mb_vehicle,mb_assembly|mb_force|mb_element|mb_tire -> mb_model,cpp/include/mb_vehicle/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0102,cpp-header-edge,mb_vehicle->mb_tire,mb_vehicle,mb_assembly|mb_force|mb_element|mb_tire -> mb_tire,cpp/include/mb_vehicle/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0103,cpp-header-edge,mb_vehicle->mb_tire_common,mb_vehicle,mb_assembly|mb_force|mb_element|mb_tire -> mb_tire (internal common target retained),cpp/include/mb_vehicle/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0104,cpp-header-edge,mb_vehicle->mb_tire_fiala,mb_vehicle,mb_assembly|mb_force|mb_element|mb_tire -> mb_tire (internal fiala target retained),cpp/include/mb_vehicle/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0105,cpp-header-edge,mb_vehicle->mb_tire_pac2002,mb_vehicle,mb_assembly|mb_force|mb_element|mb_tire -> mb_tire (internal pac2002 target retained),cpp/include/mb_vehicle/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0106,cpp-header-edge,mb_vehicle->mb_tire_state,mb_vehicle,mb_assembly|mb_force|mb_element|mb_tire -> mb_tire,cpp/include/mb_vehicle/functions.hpp,target DAG; header-only evidence; audit cpp,layering gate:70-105; baseline
C0107,cpp-source-edge,abi->mb_base,abi,abi -> mb_numeric|mb_dual|mb_config,cpp/src/abi/element_reader.cpp; cpp/src/abi/kernel_abi.cpp,audit called symbols; migrate include; cpp audit required,cpp include scan; header-only gate
C0108,cpp-source-edge,abi->mb_cases,abi,abi -> mb_cases,cpp/src/abi/kernel_contract_run.cpp,audit called symbols; migrate include; cpp audit required,cpp include scan; header-only gate
C0109,cpp-source-edge,abi->mb_contract,abi,abi -> mb_contract,cpp/src/abi/kernel_contract_run.cpp,audit called symbols; migrate include; cpp audit required,cpp include scan; header-only gate
C0110,cpp-source-edge,abi->mb_integrator,abi,abi -> mb_solve_dynamic,cpp/src/abi/kernel_abi.cpp,audit called symbols; migrate include; cpp audit required,cpp include scan; header-only gate
C0111,cpp-source-edge,abi->mb_model,abi,abi -> mb_model,cpp/src/abi/kernel_abi.cpp; cpp/src/abi/kernel_contract_run.cpp,audit called symbols; migrate include; cpp audit required,cpp include scan; header-only gate
C0112,cpp-source-edge,abi->mb_output,abi,abi -> mb_output,cpp/src/abi/kernel_abi.cpp; cpp/src/abi/kernel_contract_run.cpp,audit called symbols; migrate include; cpp audit required,cpp include scan; header-only gate
C0113,cpp-source-edge,abi->mb_static,abi,abi -> mb_solve_static,cpp/src/abi/kernel_abi.cpp; cpp/src/abi/kernel_contract_run.cpp,audit called symbols; migrate include; cpp audit required,cpp include scan; header-only gate
C0114,cpp-source-edge,abi->mb_tire_pac2002,abi,abi -> mb_tire (internal pac2002 target retained),cpp/src/abi/element_reader.cpp; cpp/src/abi/kernel_contract_run.cpp,audit called symbols; migrate include; cpp audit required,cpp include scan; header-only gate
C0115,cpp-source-edge,abi->mb_tire_state,abi,abi -> mb_tire,cpp/src/abi/kernel_abi.cpp,audit called symbols; migrate include; cpp audit required,cpp include scan; header-only gate
C0116,cpp-source-edge,abi->mb_vehicle,abi,abi -> mb_assembly|mb_force|mb_element|mb_tire,cpp/src/abi/kernel_abi.cpp; cpp/src/abi/kernel_contract_run.cpp,audit called symbols; migrate include; cpp audit required,cpp include scan; header-only gate
C0117,cpp-source-edge,mb_cases->mb_base,mb_cases,mb_cases -> mb_numeric|mb_dual|mb_config,cpp/src/cases/handling.cpp; cpp/src/cases/kc_quasi_static.cpp,audit called symbols; migrate include; cpp audit required,cpp include scan; header-only gate
C0118,cpp-source-edge,mb_cases->mb_model,mb_cases,mb_cases -> mb_model,cpp/src/cases/contract_model.cpp,audit called symbols; migrate include; cpp audit required,cpp include scan; header-only gate
C0119,cpp-source-edge,mb_constraint->mb_base,mb_constraint,mb_joint -> mb_numeric|mb_dual|mb_config,cpp/src/constraint/kernel_directional_constraint.cpp; cpp/src/constraint/kernel_model_constraint.cpp,audit called symbols; migrate include; cpp audit required,cpp include scan; header-only gate
C0120,cpp-source-edge,mb_constraint->mb_model,mb_constraint,mb_joint -> mb_model,cpp/src/constraint/kernel_directional_constraint.cpp; cpp/src/constraint/kernel_model_constraint.cpp,audit called symbols; migrate include; cpp audit required,cpp include scan; header-only gate
C0121,cpp-source-edge,mb_integrator->mb_base,mb_integrator,mb_solve_dynamic -> mb_numeric|mb_dual|mb_config,cpp/src/integrator/kernel_integrator.cpp; cpp/src/integrator/kernel_integrator_input.cpp,audit called symbols; migrate include; cpp audit required,cpp include scan; header-only gate
C0122,cpp-source-edge,mb_integrator->mb_constraint,mb_integrator,mb_solve_dynamic -> mb_joint,cpp/src/integrator/kernel_integrator.cpp; cpp/src/integrator/kernel_integrator_newton.cpp,audit called symbols; migrate include; cpp audit required,cpp include scan; header-only gate
C0123,cpp-source-edge,mb_integrator->mb_linalg,mb_integrator,mb_solve_dynamic -> mb_linear,cpp/src/integrator/kernel_integrator.cpp,audit called symbols; migrate include; cpp audit required,cpp include scan; header-only gate
C0124,cpp-source-edge,mb_integrator->mb_model,mb_integrator,mb_solve_dynamic -> mb_model,cpp/src/integrator/kernel_integrator_newton.cpp; cpp/src/integrator/kernel_integrator_residual.cpp,audit called symbols; migrate include; cpp audit required,cpp include scan; header-only gate
C0125,cpp-source-edge,mb_integrator->mb_tire_brush,mb_integrator,mb_solve_dynamic -> mb_tire (internal brush target retained),cpp/src/integrator/kernel_integrator.cpp,audit called symbols; migrate include; cpp audit required,cpp include scan; header-only gate
